States,Latitude,Longitude,Year,Sex_Edu_Mand,HIV_STD_Edu_Mand,HR_Edu_Mand,Sex_Edu_AA_S,Sex_Edu_AA_HIV,Sex_Edu_CA_S,Sex_Edu_CA_HIV,Sex_Edu_MA_S,Sex_Edu_MA_HIV,Sex_Edu_PR,Abstinance_S,Abstinence_C,Contraceptive_C,Promote_Marriage,Sexuality,Neg_Teen_Sex,LS_Coersion,LS_RS,LS_Consent,LS_DM,LS_VP,LS_FC,HIV_Condoms_Contraception,HIV_Abstinence_S,HIV_Abstinence_C,Parent_Notif_S,Parent_Notif_HIV
Iowa,42.011539,-93.210526,2006,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Kansas,38.5266,-96.726486,2006,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Kentucky,37.66814,-84.670067,2006,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA
Louisiana,31.169546,-91.867805,2006,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Maine,44.693947,-69.381927,2006,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Maryland,39.063946,-76.802101,2006,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,Opt-out,Opt-out
Massachusetts,42.230171,-71.530106,2006,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Michigan,43.326618,-84.536095,2006,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Minnesota,45.694454,-93.900192,2006,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,Opt-out,Opt-out
Mississippi,32.741646,-89.678696,2006,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Missouri,38.456085,-92.288368,2006,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Montana,46.921925,-110.454353,2006,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,Opt-out
Nebraska,41.12537,-98.268082,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nevada,38.313515,-117.055374,2006,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Consent,Consent
New Hampshire,43.452492,-71.563896,2006,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA
New Jersey,40.298904,-74.521011,2006,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
New Mexico,34.840515,-106.248482,2006,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA
New York,42.165726,-74.948051,2006,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,Opt-out
North Carolina,35.630066,-79.806419,2006,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA
North Dakota,47.528912,-99.784012,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ohio,40.388783,-82.764915,2006,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Oklahoma,35.565342,-96.928917,2006,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,Opt-out,Opt-out
Oregon,44.572021,-122.070938,2006,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Pennsylvania,40.590752,-77.209755,2006,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,Opt-out
Rhode Island,41.680893,-71.51178,2006,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
South Carolina,33.856892,-80.945007,2006,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
South Dakota,44.299782,-99.438828,2006,0,0,,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
Tennessee,35.747845,-86.692345,2006,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Texas,31.054487,-97.563461,2006,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Utah,40.150032,-111.862434,2006,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Consent,Consent
Vermont,44.045876,-72.710686,2006,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,Opt-out,Opt-out
Virginia,37.769337,-78.169968,2006,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,Opt-out,Opt-out
Washington,47.400902,-121.490494,2006,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
West Virginia,38.491226,-80.954453,2006,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Wisconsin,44.268543,-89.616508,2006,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Wyoming,42.755966,-107.30249,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,32.806671,-86.79113,2007,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Alaska,61.370716,-152.404419,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,33.729759,-111.431221,2007,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Consent,Opt-out
Arkansas,34.969704,-92.373123,2007,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA
California,36.116203,-119.681564,2007,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,Opt-out,Opt-out
Colorado,39.059811,-105.311104,2007,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Connecticut,41.597782,-72.755371,2007,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Delaware,39.318523,-75.507141,2007,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA
District of Columbia,38.897438,-77.026817,2007,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Florida,27.766279,-81.686783,2007,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Georgia,33.040619,-83.643074,2007,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,Opt-out,Opt-out
Hawaii,21.094318,-157.498337,2007,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA
Idaho,44.240459,-114.478828,2007,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Illinois,40.349457,-88.986137,2007,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Indiana,39.849426,-86.258278,2007,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA
Iowa,42.011539,-93.210526,2007,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Kansas,38.5266,-96.726486,2007,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Kentucky,37.66814,-84.670067,2007,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA
Louisiana,31.169546,-91.867805,2007,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Maine,44.693947,-69.381927,2007,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Maryland,39.063946,-76.802101,2007,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,Opt-out,Opt-out
Massachusetts,42.230171,-71.530106,2007,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Michigan,43.326618,-84.536095,2007,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Minnesota,45.694454,-93.900192,2007,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,Opt-out,Opt-out
Mississippi,32.741646,-89.678696,2007,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Missouri,38.456085,-92.288368,2007,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Montana,46.921925,-110.454353,2007,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,Opt-out
Nebraska,41.12537,-98.268082,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nevada,38.313515,-117.055374,2007,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Consent,Consent
New Hampshire,43.452492,-71.563896,2007,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA
New Jersey,40.298904,-74.521011,2007,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
New Mexico,34.840515,-106.248482,2007,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA
New York,42.165726,-74.948051,2007,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,Opt-out
North Carolina,35.630066,-79.806419,2007,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA
North Dakota,47.528912,-99.784012,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ohio,40.388783,-82.764915,2007,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Oklahoma,35.565342,-96.928917,2007,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,Opt-out,Opt-out
Oregon,44.572021,-122.070938,2007,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Pennsylvania,40.590752,-77.209755,2007,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,Opt-out
Rhode Island,41.680893,-71.51178,2007,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
South Carolina,33.856892,-80.945007,2007,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
South Dakota,44.299782,-99.438828,2007,0,0,,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
Tennessee,35.747845,-86.692345,2007,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Texas,31.054487,-97.563461,2007,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Utah,40.150032,-111.862434,2007,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Consent,Consent
Vermont,44.045876,-72.710686,2007,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,Opt-out,Opt-out
Virginia,37.769337,-78.169968,2007,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,Opt-out,Opt-out
Washington,47.400902,-121.490494,2007,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
West Virginia,38.491226,-80.954453,2007,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Wisconsin,44.268543,-89.616508,2007,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Wyoming,42.755966,-107.30249,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,32.806671,-86.79113,2008,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Alaska,61.370716,-152.404419,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,33.729759,-111.431221,2008,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Consent,Opt-out
Arkansas,34.969704,-92.373123,2008,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA
California,36.116203,-119.681564,2008,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,Opt-out,Opt-out
Colorado,39.059811,-105.311104,2008,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Connecticut,41.597782,-72.755371,2008,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Delaware,39.318523,-75.507141,2008,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA
District of Columbia,38.897438,-77.026817,2008,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Florida,27.766279,-81.686783,2008,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Georgia,33.040619,-83.643074,2008,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,Opt-out,Opt-out
Hawaii,21.094318,-157.498337,2008,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA
Idaho,44.240459,-114.478828,2008,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Illinois,40.349457,-88.986137,2008,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Indiana,39.849426,-86.258278,2008,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA
Iowa,42.011539,-93.210526,2008,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Kansas,38.5266,-96.726486,2008,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Kentucky,37.66814,-84.670067,2008,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA
Louisiana,31.169546,-91.867805,2008,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Maine,44.693947,-69.381927,2008,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Maryland,39.063946,-76.802101,2008,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,Opt-out,Opt-out
Massachusetts,42.230171,-71.530106,2008,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Michigan,43.326618,-84.536095,2008,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Minnesota,45.694454,-93.900192,2008,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,Opt-out,Opt-out
Mississippi,32.741646,-89.678696,2008,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Missouri,38.456085,-92.288368,2008,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Montana,46.921925,-110.454353,2008,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,Opt-out
Nebraska,41.12537,-98.268082,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nevada,38.313515,-117.055374,2008,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Consent,Consent
New Hampshire,43.452492,-71.563896,2008,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,Opt-out,Opt-out
New Jersey,40.298904,-74.521011,2008,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
New Mexico,34.840515,-106.248482,2008,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA
New York,42.165726,-74.948051,2008,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,Opt-out
North Carolina,35.630066,-79.806419,2008,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA
North Dakota,47.528912,-99.784012,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ohio,40.388783,-82.764915,2008,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Oklahoma,35.565342,-96.928917,2008,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,Opt-out,Opt-out
Oregon,44.572021,-122.070938,2008,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Pennsylvania,40.590752,-77.209755,2008,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,Opt-out
Rhode Island,41.680893,-71.51178,2008,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
South Carolina,33.856892,-80.945007,2008,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
South Dakota,44.299782,-99.438828,2008,0,0,,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
Tennessee,35.747845,-86.692345,2008,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Texas,31.054487,-97.563461,2008,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Utah,40.150032,-111.862434,2008,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Consent,Consent
Vermont,44.045876,-72.710686,2008,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,Opt-out,Opt-out
Virginia,37.769337,-78.169968,2008,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,Opt-out,Opt-out
Washington,47.400902,-121.490494,2008,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
West Virginia,38.491226,-80.954453,2008,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Wisconsin,44.268543,-89.616508,2008,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Wyoming,42.755966,-107.30249,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,32.806671,-86.79113,2009,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Alaska,61.370716,-152.404419,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
